1,0
0.999852,0.0172253
0.999407,0.0344215
0.998667,0.0516194
0.99763,0.0688019
0.996298,0.085964
0.99467,0.103101
0.992748,0.120207
0.990529,0.137289
0.988019,0.154318
0.985216,0.171302
0.98212,0.188235
0.978734,0.205112
0.975058,0.221928
0.971092,0.238678
0.966839,0.255358
0.9623,0.271962
0.957475,0.288485
0.952366,0.304922
0.946975,0.32127
0.941304,0.337522
0.935353,0.353674
0.929126,0.369721
0.922623,0.385658
0.915846,0.401481
0.908798,0.417185
0.901481,0.432765
0.893902,0.448207
0.886053,0.463526
0.877941,0.478708
0.869569,0.493747
0.860939,0.508641
0.852054,0.523384
0.842917,0.537971
0.83353,0.552399
0.823895,0.566663
0.814017,0.58076
0.803897,0.594684
0.79354,0.608432
0.782946,0.621999
0.772121,0.635382
0.761067,0.648577
0.749788,0.66158
0.738286,0.674386
0.726566,0.686992
0.71463,0.699395
0.702482,0.711591
0.690126,0.723575
0.677566,0.735345
0.664805,0.746897
0.651846,0.758228
0.638695,0.769334
0.625354,0.780212
0.611828,0.790859
0.598121,0.801271
0.584236,0.811445
0.570178,0.82138
0.555951,0.83107
0.54156,0.840515
0.527008,0.84971
0.512299,0.858653
0.497439,0.867342
0.482432,0.875774
0.467281,0.883946
0.451992,0.891856
0.436569,0.899502
0.421016,0.906881
0.405339,0.913992
0.389542,0.920831
0.373629,0.927398
0.357605,0.933689
0.341476,0.939704
0.325245,0.945441
0.308918,0.950897
0.292499,0.956071
0.275993,0.960962
0.259406,0.965568
0.242741,0.969888
0.226005,0.973921
0.209202,0.977664
0.192336,0.981118
0.175414,0.984282
0.158439,0.987153
0.141418,0.989732
0.124355,0.992018
0.107254,0.994009
0.0901221,0.995706
0.0729632,0.997108
0.0557826,0.998215
0.0385853,0.999025
0.0213766,0.999539
0.00416146,0.999758
-0.013055,0.999679
-0.0302677,0.999305
-0.0474715,0.998634
-0.0646613,0.997668
-0.081832,0.996405
-0.0989786,0.994848
-0.116096,0.992995
-0.133179,0.990848
-0.150223,0.988408
-0.167222,0.985675
-0.184172,0.982649
-0.201067,0.979332
-0.217903,0.975725
-0.234675,0.971829
-0.251377,0.967645
